CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_LAT|CAND_LONG|CAND_ZIP|CAND_CITY|CAND_STATE
H0AL07060|DAVIS, ARTUR G|DEM|2006|AL|H|I|C00347872|33.52148017567568|-86.87121170270271|35201|BIRMINGHAM|AL
H0AR02073|MARTIN, ROD D|REP|2000|AR|H|C|C00351312|34.757797833333335|-92.34247691666667|72207|LITTLE ROCK|AR
H0AR04038|ROSS, MICHAEL A|DEM|2006|AR|H|I|C00345710|33.806886|-93.36595|71857|Prescott|AR
H0AR04046|HARRIS, BRUCE C|DEM|2000|AR|H|C|C00346874|34.20609675|-92.01493975|71603|PINE BLUFF|AR
H0AS00018|FALEOMAVAEGA, ENI|DEM|2006|AS|H|I|C00231092|38.89531540217391|-77.01958254710144|20026|Washington|DC
H0AZ01184|FLAKE, JEFF MR.|REP|2006|AZ|H|I|C00347260|33.38321239999999|-111.85587515|85205|Mesa|AZ
H0AZ01218|LIDDY, THOMAS PURCELL|REP|2000|AZ|H|C|C00349381|33.281833875000004|-111.904332375|85226|CHANDLER|AZ
H0AZ03248|SCHARER, GENE PAUL|DEM|2006|AZ|H|C|C00419366|33.49021461538462|-112.19915230769229|85302|GLENDALE|AZ
H0AZ05037|RYAN, MARY JUDGE|DEM|2002|AZ|H|C|C00343723|32.15193782692308|-111.18440194230767|85710|TUCSON|AZ
H0CA01106|WIESNER, LAWRENCE R|REP|2004|CA|H|C|C00368100|38.44940955555556|-122.73874188888888|95404|SANTA ROSA|CA
H0CA01130|ELIZONDO, PAMELA|GRE|2006|CA|H|C||39.745588|-123.5223|95454|LAYTONVILLE|CA
H0CA11022|LANTOS, TOM|DEM|2006|CA|H|I|C00112250|37.4401595|-122.3006875|94070|San Carlos|CA
H0CA14042|DOOLITTLE, JOHN|REP|2006|CA|H|I|C00242768|38.89531540217391|-77.01958254710144|20515|WASHINGTON|DC
H0CA15148|HONDA, MIKE|DEM|2006|CA|H|I|C00351379|37.24389375806454|-121.78056964516126|95113|San Jose|CA
H0CA23043|KALEMKARIAN, TIMOTHY CHARLES|REP|2006|CA|H|C|C00424119|33.987485666666664|-118.763014|91359|WESTLAKE VILLAGE|CA
H0CA23050|CASE, MICHAEL W|DEM|2000|CA|H|C|C00348466|34.401466|-119.30082|93022|OAK VIEW|CA
H0CA24082|DOYLE, JERRY|REP|2000|CA|H|C|C00351833|33.9600535|-118.481651|91302|CALABASAS|CA
H0CA27085|SCHIFF, ADAM|DEM|2006|CA|H|I|C00343871|33.94396584158416|-118.29928288118809|90017|Los Angeles|CA
H0CA31087|SOLIS, HILDA|DEM|2006|CA|H|I|C00346296|33.930122250000004|-118.16264349999999|91731|El Monte|CA
H0CA32085|EVANS, MERVIN LEON|DEM|2006|CA|H|C|C00390385|33.94396584158416|-118.29928288118809|90071|LOS ANGELES|CA
H0CA32093|HENTSCHEL, NOEL IRWIN|REP|2001|CA|H|C|C00365049|33.94396584158416|-118.29928288118809|90077|LOS ANGELES|CA
H0CA35096|MCGILL, CARL LEE|DEM|2006|CA|H|C|C00345389|33.94396584158416|-118.29928288118809|90009|LOS ANGELES|CA
H0CA37118|VAN, VERNON|REP|2004|CA|H|C|C00399899|33.79097913793104|-118.20857620689657|90803|LONG BEACH|CA
H0CA38066|SCHIPSKE, GERRIE|DEM|2002|CA|H|C|C00348136|33.79097913793104|-118.20857620689657|90815|LONG BEACH|CA
H0CA41110|FAVILA, RODOLFO GOMEZ|DEM|2000|CA|H|C|C00351163|34.3701802|-116.96610639999999|91762|ONTARIO|CA
H0CA43066|COLLEN, MARTIN|REP|2002|CA|H|C|C00351122|33.84355464705882|-116.68860723529411|92507|Riverside|CA
H0CA44080|GORDON, JON|DEM|2000|CA|H|C|C00345165|33.788903749999996|-116.4134535|92263|PALM SPRINGS|CA
H0CA44122|BARKER, JOHN CHARLES|REP|2004|CA|H|C|C00396457|33.647287|-115.65742900000001|92270|RANCHO MIRAGE|CA
H0CA45012|CUNNINGHAM, RANDY DUKE|REP|2006|CA|H|I|C00242446|33.07519825|-117.00485549999999|92079|SAN MARCOS|CA
H0CA45038|CRISELL, TED|DEM|2000|CA|H|C|C00349175|33.677587499999994|-117.92697400000002|92647|HUNTINGTON BEACH|CA
H0CA47034|GRAHAM, JOHN L|DEM|2005|CA|H|O|C00404889|33.675686642857144|-117.78497864285714|92617|IRVINE|CA
H0CA48024|ISSA, DARRELL EDWARD|REP|2006|CA|H|I|C00350520|33.136608|-117.10179866666665|92085|VISTA|CA
H0CA48032|MORROW, BILL|REP|2006|CA|H|O|C00383885|32.89516425|-116.9308555|92008|LA MESA|CA
H0CA48065|UDALL, DON ALLEN|REP|2005|CA|H|O|C00414854|33.618939166666664|-117.87561050000001|92660|NEWPORT BEACH|CA
H0CA49030|SANDERS, WADE ROWLAND|DEM|2004|CA|H|C|C00344101|32.89411814814816|-116.99533772839506|92104|SAN DIEGO|CA
H0CA49055|DAVIS, SUSAN A|DEM|2006|CA|H|I|C00344671|32.89411814814816|-116.99533772839506|92116|SAN DIEGO|CA
H0CO02126|HUME, SANDY|REP|2002|CO|H|C|C00358341|40.062142875|-105.33811643749999|80305|BOULDER|CO
H0CT01027|RAPOPORT, MILES S|DEM|1998|CT|H|C|C00330357|41.75275|-72.7546|06107|WEST HARTFORD|CT
H0CT02017|GEJDENSON, SAM|DEM|2002|CT|H|C|C00111633|41.543559|-72.17684|06334|BOZRAH|CT
H0CT02124|SIMMONS, ROB|REP|2006|CT|H|I|C00343921|41.351307|-71.91317|06378|Stonington|CT
H0CT03072|DELAURO, ROSA|DEM|2006|CT|H|I|C00238865|41.348277384615386|-72.92185780769232|06511|New Haven|CT
H0CT04104|SANCHEZ, STEPHANIE HUNTER|DEM|2002|CT|H|C|C00359372|41.18111821052631|-73.45532831578949|06905|STAMFORD|CT
H0CT05085|FRANKS, GARY A|REP|1996|CT|H|C|C00303313|41.4373680625|-72.967961875|06723|WATERBURY|CT
H0DC00058|NORTON, ELEANOR HOLMES|DEM|2006|DC|H|I|C00244335|38.89531540217391|-77.01958254710144|20003|Washington|DC
H0FL04033|PUESCHEL, DEBORAH KATZ|REP|2004|FL|H|C|C00346767|30.30522279245282|-81.65284611320754|32256|JACKSONVILLE|FL
H0FL04066|CRENSHAW, ANDER M HON|REP|2006|FL|H|I|C00352849|30.30522279245282|-81.65284611320754|32210|JACKSONVILLE|FL
H0FL05089|KING, JAMES HENRY|REP|2000|FL|H|C|C00350587|29.178171|-83.02243|32625|CEDAR KEY|FL
H0FL08042|KELLER, RICHARD A|REP|2006|FL|H|I|C00345090|28.520516629032265|-81.28818522580643|32802|ORLANDO|FL
H0FL08067|HERING, ROBERT (BOB) NELSON JR|REP|2000|FL|H|C|C00347047|28.520516629032265|-81.28818522580643|32835|ORLANDO|FL
H0FL12010|SHAW, E CLAY JR|REP|2006|FL|H|I|C00117119|26.13405180434782|-80.27614473913044|33303|Fort Lauderdale|FL
H0FL12051|PUTNAM, ADAM H|REP|2006|FL|H|I|C00364117|27.9252085|-81.8890265|33831|Bartow|FL
H0FL18025|ROS-LEHTINEN, ILEANA|REP|2006|FL|H|I|C00280537|25.69783154166667|-80.34412848958333|33152|Miami|FL
H0FL23025|LAURIE, CHARLES LOUIS III|REP|2002|FL|H|C|C00381269|26.13405180434782|-80.27614473913044|33309|FORT LAUDERDALE|FL
H0GA01029|GRIGGS, JOYCE MARIE|DEM|2000|GA|H|C|C00359901|32.00549926086958|-81.08729143478263|31408|SAVANNAH|GA
H0GA01037|SMART, DON|DEM|2002|GA|H|C|C00358036|32.00549926086958|-81.08729143478263|31412|SAVANNAH|GA
H0GA04023|LINDER, JOHN|REP|2006|GA|H|I|C00255976|33.98126285714285|-84.0996522857143|30096|DULUTH|GA
H0GA07059|BEVERLY, ALFRED WILEY|REP|2004|GA|H|C|C00399741|33.94348485714285|-84.53430707142857|30062|MARIETTA|GA
H0GA08032|MARSHALL, JAMES C|DEM|2006|GA|H|I|C00347716|32.81715886956521|-83.67255700000001|31201|Macon|GA
H0HI01058|MATSUNAGA, MATTHEW|DEM|2006|HI|H|O|C00426221|23.99200566666667|-165.5305597777778|96813|HONOLULU|HI
H0HI01116|GABBARD, MIKE|REP|2004|HI|H|C|C00398560|21.3949|-157.74529|96734|KAILUA|HI
H0HI02072|DONOVAN, JAMES M|REP|2000|HI|H|C|C00354522|20.040191|-155.69999|96743|KAMUELA|HI
