CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_ZIP|CAND_CITY|CAND_STATE
H0AK01020|DEVENS, JOHN S|DEM|1992|AK|H|C|C00255711|99686|VALDEZ|AK
H0AL02046|BAGGIANO, FAYE S|DEM|1992|AL|H|O|C00244277|36116|MONTGOMERY|AL
H0AL02053|BALMER, GEORGE|DEM|1990|AL|H|C|C00245688|36081|TROY|AL
H0AL03036|BROWDER, JOHN GLEN|DEM|1992|AL|H|I|C00235119|36265|JACKSONVILLE|AL
H0AL03044|ROBBINS, RAY F II|REP|1989|AL|H|C|C00235127|35160|TALLADEGA|AL
H0AL03051|RICE, JOHN|REP|1989|AL|H|C|C00235200|36801|OPELIKA|AL
H0AL03077|ADAMS, CHARLES H|DEM|1990|AL|H|C|C00235416|36867|PHOENIX CITY|AL
H0AL03101|DIAL, GERALD OSCAR|DEM|1989|AL|H|C|C00235259|36266|LINEVILLE|AL
H0AL03143|PREUITT, JAMES E|DEM|1989|AL|H|C|C00235242|35160|TALLADEGA|AL
H0AL03168|SLEDGE, ROLAND DONALD|REP|1992|AL|H|C|C00266122|36854|VALLEY|AL
H0AL05049|CRAMER, ROBERT E (BUD) JR|DEM|1992|AL|H|I|C00239038|35801|HUNTSVILLE|AL
H0AL05056|FROST, JAMES EDDIE|DEM|1990|AL|H|C|C00239541|35631|FLORENCE|AL
H0AL05064|GREER, BAYLESS LYNN|DEM|1990|AL|H|C|C00240242||ROGERSVILLE|AL
H0AL05098|PRATT, EVELYN|DEM|1990|AL|H|C|C00241778|35801|HUNTSVILLE|AL
H0AL05106|MCDONALD, ALBERT CLYDE|REP|1990|AL|H|C|C00242453|35806|HUNTSVILLE|AL
H0AL05148|SPEARS, WILLIAM EARL|DEM|1990|AL|H|C|C00244665|35630|FLORENCE|AL
H0AL07052|BARKER, MICHAEL DEAN|REP|1990|AL|H|C|C00243741|35242|BIRMINGHAM|AL
H0AR01018|GIBSON, MICHAEL LEE|DEM|1990|AR|H|C|C00237446|72370|OSCEOLA|AR
H0AR01026|HAYES, TERRY OWEN|REP|1992|AR|H|C|C00245092|72543|HEBER SPRINGS|AR
H0AR02065|"KEET, JAMES HOLLAND III ""JIM KEET"""|REP|1990|AR|H|C|C00243089|72221|LITTLE ROCK|AR
H0AR03014|IVY, DANNY CHRIS|DEM|1992|AR|H|O|C00246645|72702|FAYETTEVILLE|AR
H0AR04020|ROOD, ROY ELMER|REP|1990|AR|H|C|C00245142|71730|EL DORADO|AR
H0AS00018|FALEOMAVAEGA, ENI F H|DEM|1992|AS|H|C|C00231092|96799|PAGO PAGO|AS
H0AS00034|MULITAUAOPELE, I|DEM|1980|AS|H|C|C00138008|96799|PAGO PAGO|ZZ
H0AS00042|TAGO, ACE A|IND|1990|AS|H|C|C00247205|96799|PAGO PAGO|AS
H0AS00067|LUTU, AFOA MOEGA|IND|1990|AS|H|C|C00248856|96799|PAGO PAGO|AS
