INDEX|TARGET_ID|SRC_CITY|SRC_STATE|SRC_LAT|SRC_LONG|COUNT|SUM|MEAN|STD
0|C00000026|DUNBAR|WV|38.367255|-81.74473|1|500.0|500.0|0.0
1|C00000042|BARRINGTON|IL|42.241803|-87.881182|1|1500.0|1500.0|0.0
2|C00000042|LAKE FOREST|IL|42.238087|-87.86093|3|2500.0|833.33|577.35
3|C00000059|KANSAS CITY|MO|39.095394|-94.497847|5|239.0|47.8|45.68
4|C00000059|LEAWOOD|KS|38.929896|-94.627355|9|1287.0|143.0|173.28
5|C00000059|LENEXA|KS|38.961006|-94.74145|1|50.0|50.0|0.0
6|C00000059|MISSION HILLS|KS|39.023105|-94.66658|1|20.0|20.0|0.0
7|C00000059|OVERLAND|KS|38.959606|-94.68189|1|86.0|86.0|0.0
8|C00000059|OVERLAND PARK|KS|38.959548|-94.671947|9|565.0|62.78|79.53
9|C00000059|PRAIRIE VILLAGE|KS|38.999505|-94.63102|1|24.0|24.0|0.0
10|C00000059|SHAWNEE MISSION|KS|38.945224|-94.744176|6|379.0|63.17|87.76
11|C00000117|ALHAMBRA|CA|33.870905|-118.252359|1|750.0|750.0|0.0
12|C00000117|ARDMORE|PA|40.000861|-75.29694|2|10000.0|5000.0|0.0
13|C00000117|BEAMOUNT|TX|30.074112|-94.10358|1|500.0|500.0|0.0
14|C00000117|BIRMINGHAM|AL|33.52148|-86.871212|1|500.0|500.0|0.0
15|C00000117|BRYN ATHYN|PA|40.139539|-75.06716|1|500.0|500.0|0.0
16|C00000117|CAUCE|SC|33.964753|-81.06618|1|500.0|500.0|0.0
17|C00000117|CHADDS FORD|PA|39.851803|-75.5961|1|500.0|500.0|0.0
18|C00000117|CHICAGO|IL|41.85169|-87.679819|3|6000.0|2000.0|2598.08
19|C00000117|DALLAS|TX|32.785763|-96.782753|3|6000.0|2000.0|2598.08
20|C00000117|DULUTH|MN|46.982648|-92.1886|4|8900.0|2225.0|1461.45
21|C00000117|EDGEMONT|PA|39.934047|-75.405987|1|500.0|500.0|0.0
22|C00000117|LAS VEGAS|NV|36.062235|-115.109048|1|3000.0|3000.0|0.0
23|C00000117|LOS ANGELES|CA|33.943966|-118.299283|1|500.0|500.0|0.0
24|C00000117|LUTHERVILLE|MD|39.435789|-76.63614|1|800.0|800.0|0.0
25|C00000117|MONTCHANIN|DE|39.788562|-75.58881|4|4000.0|1000.0|707.11
26|C00000117|PALM BEACH|FL|26.715067|-80.03937|1|500.0|500.0|0.0
27|C00000117|PITTSBURGH|PA|40.439879|-80.001142|3|2000.0|666.67|288.68
28|C00000117|SAN FRANCISCO|CA|37.776601|-122.610733|2|2000.0|1000.0|0.0
29|C00000117|SAN MARINO|CA|33.954626|-118.205811|1|1000.0|1000.0|0.0
30|C00000117|ST LOUIS|MO|38.645484|-90.32888|1|1000.0|1000.0|0.0
31|C00000117|TUCSON|AZ|32.151938|-111.184402|1|500.0|500.0|0.0
32|C00000117|TUSCON|AZ|32.242275|-110.92533|1|500.0|500.0|0.0
33|C00000125|BETHESDA|MD|39.07525|-77.165865|1|500.0|500.0|0.0
34|C00000125|BEVERLY HILLS|CA|33.957773|-118.357613|1|1000.0|1000.0|0.0
35|C00000125|DALLAS|TX|32.785763|-96.782753|2|1850.0|925.0|106.07
36|C00000125|DAYTON|TX|30.044219|-94.88864|1|600.0|600.0|0.0
37|C00000125|EDINA|MN|44.903864|-93.37056|1|1000.0|1000.0|0.0
38|C00000125|GREENVILLE|MS|33.375596|-90.998702|1|500.0|500.0|0.0
39|C00000125|HOUSTON|TX|29.799726|-95.419938|66|48750.0|738.64|229.01
40|C00000125|LOUISIANA|MO|39.449012|-91.07518|1|500.0|500.0|0.0
41|C00000125|NEW YORK|NY|40.766339|-73.976919|1|1000.0|1000.0|0.0
42|C00000125|SARASOTA|FL|27.301105|-82.487153|1|1000.0|1000.0|0.0
43|C00000125|THE WOODLANDS|TX|30.143485|-95.46821|1|1000.0|1000.0|0.0
44|C00000125|TUCSON|AZ|32.151938|-111.184402|1|1000.0|1000.0|0.0
45|C00000125|WASHINGTON|DC|38.895315|-77.019583|3|1500.0|500.0|0.0
46|C00000125|WICHITA FALLS|TX|33.900933|-98.507711|1|500.0|500.0|0.0
47|C00000141|AGANA, GUAM|ZZ|0.0|0.0|1|250.0|250.0|0.0
48|C00000141|ALAMEDA|CA|37.751954|-122.249445|2|1000.0|500.0|0.0
49|C00000141|ATHERTON|CA|37.458615|-122.20009|3|1800.0|600.0|100.0
50|C00000141|ATLANTA|GA|33.828459|-84.402366|1|1000.0|1000.0|0.0
51|C00000141|AUBURN|CA|38.997576|-120.902387|1|600.0|600.0|0.0
52|C00000141|BELEVEDERE|CA|37.892476|-122.47541|1|800.0|800.0|0.0
53|C00000141|BELVEDERE|CA|37.892476|-122.47541|2|1000.0|500.0|0.0
54|C00000141|BERKELEY|CA|37.854499|-122.240974|2|1000.0|500.0|0.0
55|C00000141|BEVERLY HILLS|CA|33.957773|-118.357613|17|14000.0|823.53|246.3
56|C00000141|BIG SUR|CA|36.133401|-121.63798|1|500.0|500.0|0.0
57|C00000141|CANOGA PARK|CA|33.997512|-118.456191|1|1000.0|1000.0|0.0
58|C00000141|CARMEL|CA|36.53859|-121.913958|3|2500.0|833.33|288.68
59|C00000141|CHATSWORTH|CA|33.94408|-118.397195|1|1000.0|1000.0|0.0
60|C00000141|CHEVY CHASE|MD|39.06192|-77.144204|2|2000.0|1000.0|0.0
61|C00000141|CHICAGO|IL|41.85169|-87.679819|1|1000.0|1000.0|0.0
62|C00000141|CORTE MADERA|CA|37.996139|-122.628494|1|500.0|500.0|0.0
63|C00000141|CUPERTINO|CA|37.253652|-121.876558|1|500.0|500.0|0.0
64|C00000141|DALLAS|TX|32.785763|-96.782753|2|1800.0|900.0|0.0
65|C00000141|EMERYVILLE|CA|37.757452|-122.102329|1|1000.0|1000.0|0.0
66|C00000141|FREMONT|CA|37.571246|-121.972758|1|1000.0|1000.0|0.0
67|C00000141|FRESNO|CA|36.753932|-119.679222|1|500.0|500.0|0.0
68|C00000141|GLEN ELLEN|CA|38.367948|-122.52468|1|500.0|500.0|0.0
69|C00000141|GRAND RAPIDS|MI|42.988566|-85.597275|1|1000.0|1000.0|0.0
70|C00000141|HILLSBOROUGH|CA|37.574936|-122.36332|1|500.0|500.0|0.0
71|C00000141|LOS ANGELES|CA|33.943966|-118.299283|17|16000.0|941.18|166.05
72|C00000141|MIAMI|FL|25.697832|-80.344128|1|1000.0|1000.0|0.0
73|C00000141|MILL VALLEY|CA|37.983047|-122.641164|1|500.0|500.0|0.0
74|C00000141|MINNEAPOLIS|MN|44.988125|-93.354789|1|500.0|500.0|0.0
75|C00000141|NEW YORK|NY|40.766339|-73.976919|8|6000.0|750.0|267.26
76|C00000141|NEW YORK CITY|NY|40.752159|-73.97231|1|1000.0|1000.0|0.0
77|C00000141|NORTH HOLLYWOOD|CA|33.929153|-118.329179|1|1000.0|1000.0|0.0
78|C00000141|NOVATO|CA|38.108917|-122.568909|2|1300.0|650.0|0.0
79|C00000141|OAKLAND|CA|37.755088|-122.128275|3|1500.0|500.0|0.0
80|C00000141|PIEDMONT|CA|37.680181|-121.921498|1|500.0|500.0|0.0
81|C00000141|REDWOOD CITY|CA|37.44802|-122.271093|1|500.0|500.0|0.0
